PoleStudio,PLZ,Stadt,Adresse,Pole Studio Beschreibung,Start Preis,Schnupperkurspreis,Ratingscore,Reviewanzahl,E-Mail,Homepage,Telefon,Eversports Pole Studio Seite,Version
Flexx Arts - Aerial Dance & Fitness,87700,Rostocker Weg 14 , 87700 Memmingen,"Unsere Flexx Arts Studios findest du in Memmingen (Rudolf-Diesel-Straße 12, 87700 Memmingen). Im Studio unterrichten wir Poledance & -fitness, Workout und Flexibility Classes. Die Kurse finden stets in kleinen Gruppen mit max. 10 Teilnehmern statt und schaffen so eine private und entspannte Trainingsatmosphäre. Komm vorbei ins Flexx Arts!
Infos zu unseren Kursen und Klassen findet ihr auf unserer Homepage www.flexxarts.de
Für alle News und Infos folge uns auf Instagram: @flexxarts","17,00 €","17,00 €",4.9,19 Rezensionen, info@flexxarts.de,http://www.flexxarts.de,+49 1511 7642 817,https://www.eversports.de/s/flexx-arts-aerial-dance-and-fitness,2023-04-21 00:58:13
La Belle,30853,Marktplatz 4 , 30853 Langenhagen,"Studio
In unserem Loft-Studio La Belle trainierst du in kleinen Gruppen auf einer großzügigen Fläche von 210 qm und einer Deckenhöhe von 3,80 m an neun hochwertigen Poles in einer familiären und geschützten Atmosphäre.
Wir bieten dir viel Raum und Platz für deine Kreativität, stets begleitet von unseren professionell ausgebildeten Trainerinnen oder Trainern.
Von den Leveln „beginner“ bis „advanced“ sowie den weiteren vielfältigen Facetten des Pole Sports bieten wir verschiedenste und abwechslungsreiche Kursformate, stets mit der höchsten Qualität auf dem höchsten Niveau.
In unseren ausgewiesenen, freien Trainingsstunden darfst du unser Loft inklusive des Equipments kostenfrei nutzen, um das Erlernte zu vertiefen und deine Kreativität frei zu entfalten. Eine Trainerin oder Trainer ist auch hier jederzeit vor Ort, um dich bei Fragen oder Hilfestellungen zu unterstützen. 
Ein eigener Umkleidebereich, eine einladende Lounge und auch eine Kaffee- und Teeküche laden dazu ein, es sich hier auch in den Trainingspausen gemütlich zu machen. Für die bequeme Anreise ist der direkte Anschluss an die Stadtbahn der ÜSTRA gegeben, ebenso stehen euch vor dem Studio ausreichend kostenlose Parkplätze zur Verfügung.
Lerne mit uns fliegen … Wir freuen uns auf dich.","30,00 €","30,00 €",5.0,22 Rezensionen, info@studio-labelle.de,http://studio-labelle.de,+49 15150993060,https://www.eversports.de/s/la-belle,2023-04-21 00:58:22
Pole Paradise,50739,Ravensburgerstraße 110-112, 50739 Köln,"Das Pole Paradise in Köln ist ein Studio, in dem Tanz und Leidenschaft mit der Stange eins werden. Angeboten werden Poledance Kurse auf verschiedenen Leveln, verschiedene Gymnastikkurse an der Stange, Aerial Hoop und Aerial Flow. Es gibt auch spezielle Angebote für Kids, Workshops, Ferienrabatte und Einsteiger-Angebote. Das Angebot ist umfangreich, komm einfach mal vorbei und lass dich von Poledance im Pole Paradise überzeugen","37,00 €","37,00 €",4.9,61 Rezensionen, poleparadise@gmx.de,https://www.pole-paradise.com,491774616007,https://www.eversports.de/s/pole-paradise,2023-04-21 00:58:18
Polea - Pole and Aerial Dance,55257,Budenheimer Parkallee 5 , 55257 Budenheim,"Das Polea - Pole and Aerial Dance ist dein Studio für Pole Dance, Aerial Hoop, Aerial Yoga und Flexibility. Lea führt das Studio und sorgt mit ihrem Team für eine angenehme Gruppendynamik in den Kursen. Leas Team besteht aus zertifizierten Trainern, die dich motivieren und unterstützen. Lerne dich und deinen Körper besser kennen, stärke dein Selbstbewusstsein und sei einfach du selbst! So macht Tanzen richtig Spaß!","80,00 €","80,00 €",5.0,86 Rezensionen, info.polea@googlemail.com,0,+49 17645911101,https://www.eversports.de/s/polea-pole-and-aerial-dance,2023-04-21 00:58:20
Polearize,44793,Rottstraße 6 , 44793 Bochum,"Das Poledance-Studio Polearize liegt mitten im Herzen von Bochum und ist fußläufig vom Hauptbahnhof erreichbar. Die Anfängerkurse beginnen immer mit den absoluten Grundlagen. Du musst vorher weder sportlich sein noch tänzerische Vorerfahrung haben. Wenn Du schon länger Pole Dance tanzt, findest Du in den höheren Leveln die passende Herausforderung. Polearize liebt Sport und die Trainer geben alles, damit Du Dich wohl fühlst und Dich jedes Mal auf das Training freuen kannst. Mit Fachwissen und jahrelanger Erfahrung unterstützen wir Dich dabei, Deine Ziele effektiv und auf gesunde Weise zu erreichen. Außer Pole Dance wird auch Aerial Hoop, Stretching, Chairdance und Twerk angeboten.","10,00 €","10,00 €",4.9,73 Rezensionen, info@polearize.de,https://www.polearize.de/,+49 01636331603,https://www.eversports.de/s/polearize,2023-04-21 00:58:20
PoleathletiX,29227,Industriestraße 10 , 29227 Celle,"Du liebst das Tanzen und Poledance, oder bist auf der Suche nach einem idealen Ort, um diesen Sport zu erlernen und zu trainieren? Dann bist du beim PoleathtetiX in Altencelle genau richtig, denn hier bekommst du die Möglichkeit, in einer angenehmen und motivierenden Atmosphäre, Poledance mithilfe von professioneller Betreuung zu erlernen! Dafür stehen dir im PoleathletiX zahlreiche Poledance-Stangen zur Verfügung. Komme ins PoleathletiX und erreiche hier deine persönlichen Trainingsziele!","3,00 €","3,00 €",4.9,29 Rezensionen, mail@poleathletix.de,http://www.poleathletix.de,4915111003331,https://www.eversports.de/s/poleathletix,2023-04-21 00:58:12
PoleCreation,87435,Immenstädter Straße 11 , 87435 Kempten (Allgäu),"Du bist neu hier? Melde dich bitte ausschließlich vorab per Mail!
polecreatinstudio@gmail.com
Herzlich Willkommen bei PoleCreation! Lerne dich selbst zu kreieren!
Dein Studio in Kempten für Poledance, Fitness, Flexi und Akrobatik!​
Dich erwartet in stets freundlicher und motivierender Atmosphäre ein Training ohne Druck.
Egal ob Anfänger oder Fortgeschrittener, wenn auch Du ganzheitlich trainieren und dich lieben lernen möchtest, dann bist du hier genau richtig!
Bei Interesse für Probetermine oder neue Anfängerkurse schreibe und gerne eine E-Mail an: polecreationstudio@gmail.com.
Besuch uns auch gerne auf unserer Homepage:
www.polecreation.de","12,00 €","12,00 €",5.0,17 Rezensionen, polecreationstudio@gmail.com,http://www.polecreation.de,0,https://www.eversports.de/s/polecreation,2023-04-21 00:58:13
POLEDANCE NRW,40237,Rethelstraße 28 Hof , 40237 Düsseldorf,"Unser über 500 Quadratmeter großes Studio mit zwei Trainingsräumen bietet beste Trainingsvoraussetzungen speziell für Pole Dance und weitere Sportarten wie Tanz, Yoga oder Pilates.
Große Fensterfronten fangen tagsüber den Sonnenschein ein, abends erzeugt die indirekte Beleuchtung ein angenehmes Licht während die Fußbodenheizung an kalten Tagen für die optimale Wohlfühl-Temperatur sorgt.
Der weite Abstand zwischen den Stangen lässt genug Bewegungsfreiheit zu, so dass Du Deinen gesamtem Bewegungsradius nutzen kannst, die große Spiegelfläche gibt Dir visuell direktes Feedback über Deine Bewegungsausführungen, was Deine Trainings-Fortschritte noch mehr fördert indem es den Lernprozess beschleunigt!","20,00 €","20,00 €",4.9,42 Rezensionen, office@poledance.nrw,https://www.poledance.nrw,+49 1721010400,https://www.eversports.de/s/poledance-nrw,2023-04-21 00:58:17
PoleRoom Braunschweig,38118,Büchnerstraße 10 , 38118 Braunschweig,"Das Luftakrobatik Studio ""PoleRoom"" befindet sich im Herzen Braunschweigs, im westlichen Ringgebiet. Auf zwei Etagen mit 400 Quadratmetern findest du Kurse wie Poledance, Polefitness, Stretching, Aerial Hoop, Aerial Silks/ Vertikaltuch und Aerosling Fitness (funktionelles Schlingentraining). Das Studio in Braunschweig ist leicht mit der Straßenbahn zu erreichen, aber auch Parkplätze stehen dir zur Verfügung. Darüber hinaus werden Polepartys und Personal Trainings angeboten. Für Veranstaltungen jeglicher Art kann man auch einen Show-Auftritt buchen. Alle TrainerInnen haben eine fundierte fachliche Ausbildung.","15,00 €","15,00 €",4.9,37 Rezensionen, info@poleroom.de,http://www.poleroom.de/,+49 1797431729,https://www.eversports.de/s/poleroom-braunschweig,2023-04-21 00:58:16
Pure Motion Kiel,24116,Eichkamp 1 , 24116 Kiel,"Das Pure Motion Kiel findest du in Eichkamp 1 , 24116 Kiel und hat für dich Montag bis Sonntag geöffnet. Neben Yoga und Tanz ist das Studio vor allem auf Pole Dance und Aerial Akrobatik spezialisiert. Kurse werden auch für Männer angeboten!
Hast du also Spaß an rhythmischer Bewegung und willst etwas für deinen Körper tun dann komm vorbei ins Pure Motion Kiel und hab Spaß mit den anderen.","0,00 €","0,00 €",4.9,72 Rezensionen, info@puremotion-kiel.de,https://puremotion-kiel.de,4943138585048,https://www.eversports.de/s/pure-motion-kiel,2023-04-21 00:58:15
Royal Pole,3011,Waaghausgasse 3 , 3011 Bern,"HERZLICH WILLKOMMEN BEI UNS IM ROYAL POLE!
Bist du auf der Suche nach einer neuen herausfordernden sportlichen Leidenschaft, bei der der Spassfaktor immer noch vorhanden bleibt und es dir nicht langweilig wird? Dann bist du bei uns goldrichtig! Royal Pole gibt dir nämlich nicht nur die Möglichkeit neue spannende und vielfältige Luftdisziplinen kennen zu lernen, sondern auch Dich selbst und Deine körperlichen Leistungen neu zu entdecken und zu entfalten!
Unser super motiviertes Team von qualifizierten und erfahrenen Instruktorinnen begleitet und unterstützt dich professionell, kompetent und mit grosser Leidenschaft und Sympathie in dieser Entdeckungsreise der Poledance und der Luftakrobatikdisziplinen. Egal ob du alt oder jung bist, weiblich oder männlich, sportlich oder nicht, bei uns sind alle willkommen: denn Pole, Hoop, Silks, Tanz und Beweglichkeit haben kein Alter, wenn man der Überzeugug ist, Bewegung hält den Körper und die Seele jung!
In unserem stilvoll und hochwertig ausgestattetem Pole Dance Studio sind Qualität, Sicherheit und individuelle Förderung gross geschrieben: unsere grosszügigen 90 Min. Lektionen, eine maximale Teilnehmeranzahl von 8-9 Personen und Kurse in denen du deine Stange nur für Dich hast und sie nicht teilen musst stellen sicher, dass wir unseren Grundsätzen gerecht werden.
Wir werden dich vielleicht mal an deine Grenzen bringen, ganz sicher aber, werden wir dich so an deine Ziele bringen! ;-)
Na, Lust bekommen bei uns mal reinzuschauen? Dann denk nicht mehr lange nach und melde Dich gleich für eine Probelektion an, denn bereits hier erwartet dich der erste Vorteil: du zahlst für deine erste nur 5 Franken!
Helga & das ganze RP-Team","5,00 CHF","5,00 CHF",4.9,17 Rezensionen, info@royalpole.ch,http://www.royalpole.ch/,0,https://www.eversports.de/s/royal-pole,2023-04-21 00:58:12
schwerelos Münster,48163,Weseler Straße 675D , 48163 Münster,"Komm ins schwerelos und lerne mit uns an der Pole, im Luftring, im Tuch oder beim Yoga zu schweben!
Luftakrobatik ist nur was für Artisten? Stimmt nicht! Mit den Kursen im schwerelos kann jeder Luftakrobatik lernen und eine neue Leidenschaft entdecken. Probier's doch mal aus! Unsere ausgebildeten Trainer:innen achten auf levelgerechte Kursinhalte, detaillierte, technische Erklärungen und die richtige Hilfestellung. Uns liegt Euer Spaß im Kurs, Euer Fortschritt und ein gesundes Training in kleinen Gruppen besonders am Herz!
Das Herz unserer Kurse bildet die Luftakrobatik an der Pole, im Hoop und im Tuch. Luftakrobatik fordert Kraft, Beweglichkeit und Koordination und ist ein abwechslungsreiches Training für den ganzen Körper. Damit das noch besser klappt ergänzen Yoga, Beweglichkeits- und Krafttraining unsere Kurse.
Yoga und Luftakrobatik passen ganz wunderbar zusammen. Mit Yoga wirst Du nicht nur fit und beweglich, sondern lernst den Kopf auszuschalten, Dich besser zu konzentrieren und in die Ruhe zu kommen. Das hilft nicht nur für eine komplexe Sportart, wie Luftakrobatik, sondern lässt Dich entspannter durch Dein Leben gehen. Neben Yoga findest Du Fitness-Kurse in unserem Kursplan, die Dich stärker und beweglicher machen - eine wichtige Basis für Luftakrobatik, für andere Sportarten und Deine Gesundheit. Unsere Yoga- und Fitness-Kurse kannst Du auch besuchen, wenn Du keine Luftakrobatik-Kurse besuchst. Beachte die günstigere Abos und Karten für Yoga & Fitness.
Last but not least: Mit Chair Dance, Floorwork und Twerk bieten wir auf regelmäßiger und unregelmäßiger Basis spezielle Tanzkurse an, die Tanz mit akrobatischen Elementen verbinden.","6,00 €","6,00 €",4.8,6 Rezensionen, kontakt@schwerelos-tanzstudio.de,http://schwerelos-tanzstudio.de/,+49 015234012095,https://www.eversports.de/s/schwerelos-muenster,2023-04-21 00:58:15
Schönheitstanz Studio,10117,Charitestraße 4 , 10117 Berlin,"Das Schönheitstanzstudio bringt allen Teilnehmerinnen unabhängig von Alter und körperlicher Verfassung auf charmante und herzliche Art folgende Tanzarten bei bei: Pole Dance, Burlesque, Chair Dance, Lap Dance, French Cabaret, Twerking, Stretching, Yoga, High Heel Dance Kurse, Floorwork Kurse und mehr.
Das Studio liegt inmitten renommierter Nachbarschaft im Herzen von Mitte, wo Kultur, Unterhaltung und Businessleben aufeinander treffen. Interessentinnen erwarten zwei geschmackvoll eingerichtete Räume, die im Stil an die „alten Zeiten” des Schönheitstanzes erinnern.
Die regelmäßig stattfindenden Schnupperkurse sind eine entspannte Möglichkeit, herauszufinden, welche Form des Tanzens die richtige ist. Neben dem Grundangebot werden immer wieder Specials und Ergänzungskurse angeboten, in denen die eigenen Fertigkeiten und Trainingsergebnisse verfeinert und ausgebaut werden.
Studio Schönheitstanz bietet seit 2008 erfolgreich einen Wohlfühlraum für alle Frauen, um verschiedene sinnliche, sportlich-ästhetische, erotische Tanzarten zu erlernen, sich selbst kennen zu lernen, neue Grenzen zu setzen, einfach Spass zu haben ohne Wertungen und sich verdammt gut zu fühlen. Aufgrund von großer Nachfrage bietet das Studio allen Männern und denen, die Ihre feminine sinnliche Seite ausleben möchten auch die Möglichkeit zu Ihnen zu kommen und verschiedene Kurse auszuprobieren, um ein besseres Körpergefühl zu gewinnen und sich fit zu halten in einem sicheren Wohlfühlraum.","10,00 €","10,00 €",5.0,33 Rezensionen, studio@schoenheitstanz.de,https://schoenheitstanz.de,+49 016099746437,https://www.eversports.de/s/schoenheitstanz-studio,2023-04-21 00:58:22
Seemannsbraut Poledance,24941,Ochsenweg 27-29 , 24941 Flensburg,"Moin und willkommen an Bord in unserem Poledance Studio Seemannsbraut.
Auf 200qm kannst du dich in unserem maritimen Studio so richtig auspowern und mit viel Freude deinem Hobby nachgehen. Hier findest du alles, was dein Tänzerherz sich wünscht.
Aufgeteilt in 2 Trainingsräumen bieten wir dir neben 9 Poledance Stangen auch Aerial Silk, Aerial Hoop und viele andere Kurse an, die dich zum schwitzen bringen und bei denen du mit viel Spaß deine Flexibilität verbessern, sowie deine Kondition und Kraft aufbauen kannst.
Polesport, Klimmzugstangen, Sprossenwände, Gewichte, Yoga und viele andere Kurse mit unserer tollen Trainercrew warten auf dich.
Unsere qualifizierten Trainer stehen dir jederzeit mit Rat und Tat zur Seite und helfen dir, dich stetig zu verbessern und Erfolgserlebnisse zu erzielen.
In unserer maritimen Lounge kannst du Getränke und Snacks zu dir nehmen und in unserem Shop stöbern.
Für dich stehen 2 Umkleiden und sanitäre Anlagen bereit.
Schau mal rein und werde ein Teil der Seemannsbraut- Familie. Egal ob Mann, Frau oder Divers, bei uns an Bord ist jeder willkommen. Auch das Alter spielt keine Rolle.
Wir freuen uns auf dich!
Komm an Bord.
Unsere Mitgliedschaften kannst du vor Ort im Studio abschließen oder schreibe uns eine mail. Mit den ALL Inclusive Mitgliedschaften kannst du alle Angebote unbegrenzt buchen.
Alternativ haben wir auch ALL Inclusive 10-er Karten für dich.","15,00 €","15,00 €",4.9,34 Rezensionen, seemannsbraut-poledance@web.de,http://www.seemannsbraut-poledance.de,0,https://www.eversports.de/s/seemannsbraut-poledance,2023-04-21 00:58:21
Star Poledance,53919,Rudolf-Diesel-Straße 6, 53919 Weilerswist,"Entdecke Poledance als deine neue Leidenschaft!
In kleinen Gruppen lernst du den den besten Sport der Welt und verbesserst so nicht nur deine Fitness, sondern auch dein Verhältnis zum eigenen Körper. Und das mit viel Spaß und Abwechslung!
Das Studio in Weilerswist ist sowohl mit dem Auto als auch mit der Bahn schnell erreichbar aus Köln, dem Rhein-Erft-Kreis sowie der Eifel.
Wähle aus einer Vielzahl an Kursen, die sich perfekt ergänzen.
Tanz' dich fit - Wecke den Star in dir!","45,00 €","45,00 €",5.0,14 Rezensionen, tanja@star-poledance.de,http://www.star-poledance.de,+49 176 456 51 486,https://www.eversports.de/s/star-poledance,2023-04-21 00:58:18
Vertical - Pole Aerial Dance,63741,Mühlstraße 100 , 63741 Aschaffenburg,"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.","15,00 €","15,00 €",4.9,19 Rezensionen, info@vertical-ab.de,https://www.vertical-ab.de/,0157 38823454,https://www.eversports.de/s/vertical-pole-aerial-dance-1,2023-04-21 00:58:14
Yoga and Pole Art by Selina,53783,Zum Wingert 10 , 53783 Eitorf,"Yoga and Pole Art by Selina bietet dir Online Live Klassen (inkl. 24h Aufzeichnungen), Intensivkurse, Workshops und Personal Training in folgenden Bereichen an:
· Hatha Yoga
· Vinyasa Yoga
· Yoga Rad (auch bekannt als Yoga Wheel) für Einsteiger und Fortgeschrittene
· Aerial Yoga
· Pole Trick Training
· Spinning Pole Combos Einsteiger
· Spinning Pole Combos Intermediate
· Splits on Pole Intermediate
· Flexi Pole Tricks
· Krafttraining und Trainingsperiodisierung
· Krafttraining an der Stange
Zudem bietet dir Yoga and Pole Art by Selina zahlreiche Aufzeichnungen und Video Kurse im Pole Sport und Yoga Bereich.","24,00 €","24,00 €",5.0,49 Rezensionen, yogaandpoleartbyselina@gmail.com,http://www.yogaandpoleartbyselina.com,+49 15738925807,https://www.eversports.de/s/yoga-and-pole-art-by-selina,2023-04-21 00:58:13
